T,F_per_spin,F_exact,E_per_spin,C_per_spin,m_abs,S_per_spin
3.5,-2.5132092237472534,-2.7328499174442857,-0.328090637922287,0.327059726325833,0.29144999384880066,0.6243195959499904
3.2298,-2.3900961158394813,-2.57570984337177,-0.6961843967437744,0.6497583735385358,0.49747344851493835,0.5244633472957171
2.9596,-2.2784526928424835,-2.425804370755061,-1.0048093795776367,0.7905319932191869,0.6426390409469604,0.43034305759725866
2.6894,-2.1831406337857246,-2.286498882622354,-1.254128098487854,0.8545402960220027,0.7460281252861023,0.3454348684828849
2.4192,-2.1082236808776855,-2.1643201633182856,-1.5121749639511108,0.7404243902941707,0.8443796634674072,0.24638257148089232
2.3192,-2.0887421955108643,-2.1262517135648906,-1.6126093864440918,0.6516480633037486,0.8814281225204468,0.20530045233993294
2.2942,-2.086931400716305,-2.117683681985852,-1.5976781845092773,0.6859111625539372,0.8745703101158142,0.2132565670852705
2.2692,-2.0839953850507738,-2.1096568743478676,-1.620853066444397,0.6694900962580954,0.8826265335083008,0.20409938242833456
2.2442,-2.080981998550892,-2.1023616506556304,-1.6312750577926636,0.6548472560537267,0.8857203125953674,0.2003863028064471
2.2192,-2.077388371658325,-2.095618295913647,-1.6584687232971191,0.6235701117246424,0.8957265615463257,0.1887705697373855
2.1192,-2.0611664734840396,-2.0726463745958936,-1.7165530920028687,0.5866160793971816,0.9141937494277954,0.16261484592354233
1.8394,-2.0261807329177857,-2.031212578642074,-1.8479844331741333,0.4199035678857605,0.9567796587944031,0.09687740553639902
1.5596,-2.0078519193172455,-2.0109654992779653,-1.9339749813079834,0.24363635137338754,0.9821562767028809,0.04736915748221473
1.2798,-1.9992999873161317,-2.002709300684386,-1.9733468294143677,0.1355915039732806,0.9930843710899353,0.020279073215943116
1.0,-1.9972015619277954,-2.0003482837007107,-1.991059422492981,0.07312533259391785,0.9977046847343445,0.006142139434814453
